ticker,DATE,Revenue Growth (YoY),Shares Change,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,EBITDA Margin,EBIT Margin,Cash Growth,Debt Growth
MS,3/31/2021,60.74%,15.58%,100.00%,33.37%,25.33%,167.66%,39.33%,33.69%,20.89%,4.39%
MS,12/31/2020,23.88%,12.49%,100.00%,32.61%,24.02%,-190.70%,42.72%,32.38%,28.58%,12.36%
MS,9/30/2020,16.84%,-3.75%,100.00%,30.70%,22.16%,-59.64%,36.74%,29.46%,28.58%,12.36%
MS,6/30/2020,33.35%,-5.92%,100.00%,33.63%,22.31%,-126.19%,36.61%,31.59%,28.58%,12.36%
MS,3/31/2020,-4.93%,-6.20%,100.00%,26.11%,16.26%,240.13%,29.53%,21.11%,28.58%,12.36%
MS,12/31/2019,28.40%,-6.10%,100.00%,26.37%,19.00%,-4.57%,30.28%,24.30%,-5.76%,4.12%
MS,9/30/2019,1.62%,-5.79%,100.00%,27.01%,20.53%,128.44%,33.08%,26.56%,-5.76%,4.12%
MS,6/30/2019,-3.45%,-5.32%,100.00%,28.34%,19.83%,98.13%,34.49%,27.90%,-5.76%,4.12%
MS,3/31/2019,-7.14%,-5.31%,100.00%,28.73%,22.71%,160.53%,34.75%,28.35%,-5.92%,1.02%
MS,12/31/2018,-10.02%,-4.96%,100.00%,21.72%,15.92%,-89.88%,26.91%,21.42%,8.46%,-2.32%
MS,9/30/2018,7.34%,-5.01%,100.00%,28.88%,20.45%,142.95%,33.18%,28.44%,80.94%,-3.81%
MS,6/30/2018,11.65%,-4.48%,100.00%,29.30%,21.37%,-124.67%,33.87%,29.00%,95.25%,-1.26%
MS,3/31/2018,13.67%,-3.85%,100.00%,30.87%,23.25%,110.48%,34.05%,30.53%,103.82%,10.54%
MS,12/31/2017,5.31%,-3.24%,100.00%,26.01%,4.98%,37.81%,30.17%,25.82%,3.92%,15.28%
MS,9/30/2017,3.23%,-3.25%,100.00%,26.99%,18.35%,56.06%,31.85%,26.94%,13.25%,18.53%
MS,6/30/2017,6.67%,-3.63%,100.00%,27.80%,16.70%,-153.87%,32.18%,27.39%,-20.44%,15.72%
MS,3/31/2017,25.06%,-3.81%,100.00%,28.81%,18.88%,-2.67%,32.62%,28.17%,-20.11%,7.18%
MS,12/31/2016,16.58%,-4.33%,100.00%,24.90%,16.73%,-31.23%,28.94%,24.74%,43.04%,6.91%
MS,9/30/2016,14.70%,-3.59%,100.00%,26.73%,17.04%,-98.09%,31.70%,26.33%,-52.23%,1.25%
MS,6/30/2016,-8.56%,-3.11%,100.00%,27.87%,16.00%,132.46%,32.32%,27.11%,-29.84%,0.79%
MS,3/31/2016,-21.35%,-2.45%,100.00%,22.30%,13.54%,49.56%,27.30%,21.97%,-33.48%,1.52%
MS,12/31/2015,-0.33%,-1.81%,100.00%,18.60%,9.73%,39.95%,23.44%,18.14%,-38.26%,-1.03%
MS,9/30/2015,-12.80%,-1.11%,100.00%,18.98%,12.09%,1.88%,23.30%,18.55%,-11.75%,3.83%
MS,6/30/2015,13.19%,-0.49%,100.00%,27.99%,17.09%,44.15%,31.14%,27.72%,-6.53%,4.61%
MS,3/31/2015,10.13%,-0.34%,100.00%,28.82%,23.36%,-135.01%,31.31%,28.07%,-18.61%,1.18%
MS,12/31/2014,-1.03%,0.21%,100.00%,-37.75%,-22.49%,-90.98%,-33.10%,-38.42%,-11.60%,-1.66%
MS,9/30/2014,11.95%,0.31%,100.00%,24.92%,18.29%,19.58%,25.73%,24.21%,6.05%,-4.88%
MS,6/30/2014,1.09%,0.94%,100.00%,22.44%,21.14%,7.33%,25.56%,22.24%,3.68%,-6.70%
MS,3/31/2014,10.38%,1.51%,100.00%,26.35%,16.11%,53.17%,29.08%,25.46%,33.50%,-8.30%
NVDA,10/30/2022,-16.50%,-1.54%,53.57%,10.13%,11.47%,-2.33%,18.28%,11.43%,-31.89%,0.52%
NVDA,7/31/2022,3.03%,-0.63%,43.48%,7.44%,9.79%,12.49%,13.69%,8.05%,-13.32%,-7.64%
NVDA,5/1/2022,46.41%,0.36%,65.53%,22.54%,19.52%,16.53%,26.63%,22.60%,60.56%,53.87%
NVDA,1/30/2022,52.77%,0.63%,65.41%,38.86%,39.29%,36.11%,42.33%,38.28%,83.44%,53.84%
NVDA,10/31/2021,50.30%,0.71%,65.20%,37.60%,34.69%,18.26%,42.21%,38.01%,90.33%,54.49%
NVDA,8/1/2021,68.31%,1.12%,64.78%,37.56%,36.48%,38.40%,42.11%,37.71%,78.98%,67.20%
NVDA,5/2/2021,83.80%,1.61%,64.11%,34.55%,33.77%,27.84%,42.01%,37.04%,-22.54%,1.67%
NVDA,1/31/2021,61.13%,1.77%,63.08%,30.12%,29.12%,35.66%,36.20%,30.44%,6.09%,197.69%
NVDA,10/25/2020,56.80%,1.94%,62.63%,29.58%,28.27%,17.05%,35.97%,29.64%,3.79%,207.65%
NVDA,7/26/2020,49.90%,1.62%,58.85%,16.84%,16.09%,34.92%,27.60%,17.15%,29.57%,206.27%
NVDA,4/26/2020,38.74%,0.97%,65.06%,31.69%,29.77%,24.48%,36.14%,32.66%,109.61%,202.26%
NVDA,1/26/2020,40.82%,-0.16%,64.90%,31.88%,30.63%,42.51%,36.55%,33.14%,46.82%,28.37%
NVDA,10/27/2019,-5.25%,-1.12%,63.57%,30.76%,29.83%,51.00%,35.30%,32.25%,28.69%,23.57%
NVDA,7/28/2019,-17.42%,-1.60%,59.75%,22.14%,21.40%,31.91%,27.57%,24.00%,6.70%,23.54%
NVDA,4/28/2019,-30.78%,-1.75%,58.38%,16.13%,17.75%,26.67%,22.21%,18.11%,6.88%,23.70%
NVDA,1/27/2019,-24.25%,-1.11%,54.74%,13.33%,25.67%,31.52%,18.87%,15.33%,4.42%,-0.60%
NVDA,10/28/2018,20.68%,-0.48%,60.39%,33.26%,38.67%,10.59%,36.59%,34.45%,20.11%,-1.00%
NVDA,7/29/2018,40.04%,-1.11%,63.24%,37.05%,35.25%,25.10%,40.12%,38.23%,35.15%,-3.47%
NVDA,4/29/2018,65.57%,-2.18%,64.48%,40.38%,38.79%,41.38%,43.12%,41.35%,17.63%,-9.50%
NVDA,1/28/2018,33.96%,-8.58%,61.87%,36.86%,38.44%,32.43%,39.44%,37.58%,4.56%,-28.83%
NVDA,10/29/2017,31.54%,-3.83%,59.52%,33.95%,31.79%,41.27%,36.42%,34.56%,-5.26%,-33.99%
NVDA,7/30/2017,56.16%,-0.16%,58.39%,30.85%,26.14%,29.19%,33.54%,31.35%,20.46%,37.47%
NVDA,4/30/2017,48.43%,7.01%,59.37%,28.60%,26.17%,11.77%,30.92%,28.50%,30.54%,46.45%
NVDA,1/29/2017,55.10%,17.21%,59.96%,33.73%,30.10%,30.88%,36.40%,34.24%,34.96%,86.09%
NVDA,10/30/2016,53.56%,15.58%,59.03%,31.89%,27.05%,19.66%,34.18%,31.79%,41.10%,114.89%
NVDA,7/31/2016,23.85%,14.03%,57.84%,22.20%,18.28%,12.18%,26.33%,23.04%,8.30%,6.87%
NVDA,5/1/2016,13.38%,5.46%,57.55%,18.77%,15.94%,20.23%,22.84%,19.39%,-0.79%,7.48%
NVDA,1/31/2016,11.99%,5.96%,56.46%,17.99%,14.85%,35.40%,22.27%,18.99%,8.96%,8.01%
