ticker,DATE,Revenue Growth (YoY),Shares Change,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,EBITDA Margin,EBIT Margin,Cash Growth,Debt Growth
AMD,6/25/2016,9.02%,5.53%,31.06%,-0.78%,6.72%,-10.32%,16.75%,13.53%,15.44%,-1.37%
AMD,3/26/2016,-19.22%,2.06%,32.33%,-8.17%,-13.10%,-8.17%,-4.21%,-8.17%,-20.97%,-1.41%
AMD,12/26/2015,-22.68%,1.93%,29.54%,-5.11%,-10.65%,2.82%,-1.77%,-5.32%,-24.52%,1.13%
AMD,9/26/2015,-25.75%,-,22.53%,-14.89%,-18.57%,-6.88%,-10.93%,-14.89%,-19.51%,2.36%
AMD,6/27/2015,-34.63%,1.83%,24.63%,-14.54%,-19.21%,-7.86%,-10.08%,-14.86%,-12.55%,2.67%
AMD,3/28/2015,-26.27%,2.10%,31.65%,-13.30%,-17.48%,-18.83%,-8.83%,-13.30%,0.44%,6.08%
AMD,12/27/2014,-22.03%,2.64%,29.06%,-26.63%,-29.38%,7.59%,-22.44%,-26.31%,-5.20%,7.48%
AMD,9/27/2014,-2.19%,2.75%,34.57%,4.41%,1.19%,-0.77%,7.77%,4.34%,-11.51%,7.76%
AMD,6/28/2014,24.12%,1.60%,34.56%,4.37%,-2.50%,-3.54%,4.65%,0.97%,-2.07%,7.96%
AMD,3/29/2014,28.40%,1.60%,34.86%,3.51%,-1.43%,-16.11%,5.87%,2.08%,-10.07%,4.60%
F,12/31/2022,8.58%,-0.98%,42.60%,1.83%,0.19%,9.20%,8.33%,-0.17%,-27.09%,20.38%
F,9/30/2022,14.70%,0.21%,44.71%,1.99%,2.26%,-2.86%,10.92%,2.80%,-25.73%,12.60%
F,6/30/2022,7.21%,-1.08%,45.21%,2.74%,-1.67%,-4.23%,6.30%,-1.72%,-32.46%,16.89%
F,3/31/2022,7.30%,-0.87%,42.89%,3.15%,-3.30%,-14.20%,3.78%,-4.12%,-9.40%,33.38%
F,12/31/2021,9.44%,0.69%,39.72%,2.52%,10.42%,4.09%,18.45%,11.22%,13.81%,37.93%
F,9/30/2021,15.26%,0.67%,43.21%,4.38%,2.85%,-6.71%,12.41%,4.34%,15.48%,39.73%
F,6/30/2021,27.18%,1.04%,43.25%,6.81%,6.88%,-0.24%,15.14%,8.03%,25.92%,40.37%
F,3/31/2021,43.82%,1.38%,42.50%,8.17%,7.47%,-6.43%,16.74%,9.83%,48.64%,33.26%
F,12/31/2020,43.60%,1.10%,36.85%,5.47%,5.75%,13.73%,12.54%,6.53%,53.39%,33.52%
F,9/30/2020,37.39%,1.59%,40.60%,6.44%,6.58%,2.24%,14.41%,7.62%,57.60%,36.94%
F,6/30/2020,40.23%,1.19%,40.77%,6.57%,5.90%,15.74%,13.92%,7.46%,72.18%,29.87%
F,3/31/2020,26.39%,0.80%,41.34%,5.29%,3.36%,-3.13%,11.99%,4.88%,33.15%,12.62%
F,12/31/2019,20.80%,1.40%,38.27%,4.44%,3.74%,17.98%,12.21%,5.16%,33.38%,90.69%
F,9/30/2019,23.69%,0.60%,40.98%,4.51%,3.05%,6.44%,12.27%,4.32%,45.81%,141.17%
F,6/30/2019,19.89%,0.60%,42.69%,4.86%,4.14%,10.21%,13.35%,5.15%,53.28%,137.29%
F,3/31/2019,16.96%,0.80%,43.18%,7.40%,5.96%,-1.47%,16.11%,7.98%,48.30%,129.70%
F,12/31/2018,19.73%,0.81%,38.13%,5.23%,4.18%,18.45%,11.06%,5.17%,33.12%,33.96%
F,9/30/2018,29.33%,1.42%,41.67%,6.58%,5.10%,10.71%,13.30%,6.63%,22.44%,-0.11%
F,6/30/2018,39.34%,1.63%,42.08%,5.64%,4.79%,8.51%,12.44%,5.58%,26.10%,220.68%
F,3/31/2018,42.92%,1.63%,39.78%,3.78%,3.19%,-8.85%,11.59%,4.40%,15.94%,220.37%
F,12/31/2017,38.21%,1.85%,36.32%,3.52%,3.07%,15.42%,9.44%,3.65%,19.26%,221.59%
F,9/30/2017,33.72%,1.86%,37.02%,0.79%,0.59%,2.56%,7.90%,1.24%,32.50%,201.16%
F,6/30/2017,24.84%,1.86%,38.21%,1.65%,0.52%,3.55%,9.06%,2.13%,29.69%,-6.44%
F,3/31/2017,22.61%,1.87%,37.17%,2.81%,2.03%,-9.74%,9.88%,3.06%,35.77%,-6.42%
F,12/31/2016,22.36%,1.46%,33.79%,2.87%,1.71%,20.38%,8.21%,2.96%,31.16%,-6.48%
F,9/30/2016,29.01%,1.46%,35.01%,1.76%,0.77%,8.61%,8.20%,1.83%,27.16%,-0.46%
F,6/30/2016,31.14%,1.47%,36.92%,4.23%,2.82%,6.14%,10.49%,4.21%,18.13%,-0.46%
F,3/31/2016,28.22%,3.44%,35.23%,3.68%,1.76%,-10.75%,10.07%,3.79%,15.08%,-0.46%
F,12/31/2015,21.88%,3.23%,31.91%,3.10%,1.35%,21.32%,7.84%,2.93%,13.73%,-0.46%
F,9/30/2015,23.22%,3.24%,33.93%,1.60%,0.31%,5.58%,7.71%,1.40%,109.62%,165.99%
F,6/30/2015,19.88%,3.25%,34.61%,2.00%,0.40%,3.38%,8.52%,2.04%,75.32%,164.51%
F,3/31/2015,15.08%,-0.64%,32.23%,1.12%,-0.25%,-10.43%,6.85%,0.57%,59.02%,162.38%
F,12/31/2014,14.62%,-0.64%,29.52%,2.01%,0.73%,18.99%,6.39%,1.68%,39.92%,159.01%
F,9/30/2014,20.40%,1.31%,28.92%,-2.64%,-2.12%,1.89%,3.18%,-2.88%,-10.48%,1.84%
F,6/30/2014,23.15%,1.10%,30.72%,-0.08%,-0.65%,-2.21%,5.80%,0.07%,7.01%,2.53%
F,3/31/2014,22.84%,1.08%,28.80%,0.74%,0.55%,-18.14%,6.25%,1.13%,9.77%,3.52%
GOOG,12/31/2022,16.78%,-1.23%,9.33%,3.55%,2.93%,-2.02%,7.93%,3.44%,0.80%,0.64%
GOOG,9/30/2022,10.39%,-0.37%,8.51%,1.28%,-2.10%,5.28%,3.03%,-1.78%,-6.27%,-11.24%
GOOG,6/30/2022,50.23%,0.60%,14.00%,7.14%,1.66%,3.11%,7.59%,2.82%,-10.56%,-12.31%
GOOG,3/31/2022,-4.84%,-0.20%,11.84%,3.90%,-9.02%,-7.12%,-4.86%,-10.24%,-14.71%,-11.18%
GOOG,12/31/2021,4.80%,3.95%,10.58%,1.96%,32.60%,4.67%,35.84%,30.96%,-11.07%,-14.59%
GOOG,9/30/2021,-4.85%,0.77%,12.02%,3.76%,5.13%,15.23%,11.69%,6.54%,-8.83%,-8.08%
GOOG,6/30/2021,38.10%,0.90%,10.67%,-0.08%,2.10%,-2.83%,10.21%,4.47%,-24.51%,-16.16%
GOOG,3/31/2021,5.56%,1.34%,14.65%,6.80%,9.00%,8.62%,17.99%,12.19%,-14.31%,-8.76%
GOOG,12/31/2020,-9.48%,-2.43%,3.03%,-6.79%,-7.75%,8.37%,-3.48%,-9.27%,4.60%,4.11%
GOOG,9/30/2020,1.38%,-0.05%,12.31%,6.27%,6.36%,26.22%,13.64%,8.66%,-2.07%,2.05%
GOOG,6/30/2020,-50.14%,-0.52%,-4.10%,-14.24%,5.77%,40.99%,20.09%,7.91%,8.76%,12.28%
GOOG,3/31/2020,-14.93%,-0.85%,2.55%,-4.54%,-5.81%,-6.56%,4.44%,-2.68%,8.68%,6.47%
GOOG,12/31/2019,-4.97%,0.08%,6.38%,-1.15%,-4.21%,1.58%,0.50%,-5.49%,0.00%,0.71%
GOOG,9/30/2019,-1.79%,0.17%,6.33%,-0.71%,1.15%,7.91%,6.98%,0.70%,1.55%,0.44%
GOOG,6/30/2019,-0.17%,0.35%,7.25%,0.23%,0.38%,11.69%,7.74%,1.15%,4.52%,2.11%
GOOG,3/31/2019,-3.85%,0.64%,10.03%,2.98%,2.84%,4.74%,10.53%,4.51%,-1.66%,-0.74%
GOOG,12/31/2018,1.13%,0.50%,8.68%,1.51%,-0.28%,-1.82%,6.53%,0.66%,-3.11%,-0.05%
GOOG,9/30/2018,3.33%,0.71%,9.95%,2.29%,2.63%,8.49%,22.21%,3.81%,-0.53%,2.90%
GOOG,6/30/2018,-2.34%,0.43%,8.64%,1.51%,2.74%,7.87%,4.23%,4.23%,-1.31%,4.68%
GOOG,3/31/2018,7.19%,-0.04%,9.22%,2.67%,4.14%,4.13%,5.24%,5.24%,6.95%,8.47%
GOOG,12/31/2017,6.91%,0.03%,9.57%,2.10%,6.10%,2.50%,27.63%,5.27%,7.10%,7.92%
GOOG,9/30/2017,1.41%,-0.04%,10.75%,2.74%,4.31%,9.12%,5.65%,5.65%,9.92%,8.66%
GOOG,6/30/2017,0.93%,0.23%,10.81%,3.89%,5.14%,10.18%,6.40%,6.40%,2.11%,4.36%
GOOG,3/31/2017,3.79%,0.07%,10.80%,3.74%,4.07%,6.72%,6.48%,6.48%,456.60%,3.53%
GOOG,12/31/2016,-3.97%,0.13%,9.93%,2.58%,-2.04%,1.86%,21.20%,-2.15%,5.95%,7.61%
GOOG,9/30/2016,-5.77%,0.14%,8.56%,1.16%,2.66%,9.61%,4.51%,4.51%,442.80%,8.54%
GOOG,6/30/2016,5.96%,-0.06%,11.92%,4.87%,4.99%,15.31%,7.81%,7.81%,575.79%,13.27%
GOOG,3/31/2016,11.26%,1.58%,13.63%,6.50%,6.50%,6.99%,10.20%,10.20%,28.70%,14.84%
GOOG,12/31/2015,12.21%,3.12%,9.47%,1.12%,4.64%,0.77%,25.10%,5.25%,646.61%,11.48%
GOOG,9/30/2015,9.23%,2.30%,13.18%,6.92%,5.75%,12.14%,9.17%,9.17%,10.26%,6.07%
GOOG,6/30/2015,-0.40%,0.53%,13.93%,7.11%,5.80%,9.33%,9.33%,9.33%,11.44%,4.06%
GOOG,3/31/2015,-5.51%,-0.70%,13.89%,3.67%,3.40%,1.81%,5.73%,5.73%,-4.74%,4.93%
GOOG,12/31/2014,-4.52%,-2.43%,-3.67%,-7.88%,-5.31%,0.04%,12.27%,-8.32%,-25.65%,3.91%
GOOG,9/30/2014,-2.39%,-1.55%,11.39%,1.41%,2.39%,9.99%,3.51%,3.51%,-9.71%,7.75%
GOOG,6/30/2014,-1.35%,0.59%,14.37%,5.08%,3.50%,7.59%,6.20%,6.20%,-13.39%,10.06%
GOOG,3/31/2014,0.64%,3.21%,11.53%,2.14%,2.76%,1.96%,4.09%,4.09%,-6.06%,8.99%
INTC,12/31/2022,-31.60%,0.73%,39.17%,-8.06%,-4.73%,12.80%,16.65%,-6.76%,-3.13%,10.37%
INTC,10/1/2022,-20.08%,0.95%,42.61%,-1.14%,6.64%,-40.87%,19.08%,-2.13%,-34.87%,-1.94%
INTC,7/2/2022,-21.96%,0.39%,36.47%,-4.57%,-2.96%,-41.99%,15.39%,-5.16%,8.80%,0.06%
INTC,4/2/2022,-6.71%,0.27%,50.37%,23.65%,44.21%,7.01%,65.45%,47.21%,72.77%,3.80%
INTC,12/25/2021,2.75%,-0.68%,53.63%,24.30%,22.52%,-10.86%,41.03%,26.05%,22.42%,4.67%
INTC,9/25/2021,4.69%,-2.97%,55.99%,27.24%,35.55%,28.46%,51.55%,36.13%,89.75%,10.23%
INTC,6/26/2021,-0.49%,-4.67%,57.08%,28.25%,25.78%,25.13%,44.31%,29.75%,-3.71%,-7.66%
INTC,3/27/2021,-0.78%,-5.01%,55.17%,18.78%,17.08%,4.88%,35.40%,20.65%,7.66%,-10.11%
INTC,12/26/2020,-1.14%,-5.72%,56.80%,29.45%,29.32%,31.58%,52.95%,37.92%,82.08%,25.52%
INTC,9/26/2020,-4.47%,-5.01%,53.13%,27.60%,23.32%,24.34%,44.94%,27.90%,51.79%,26.48%
INTC,6/27/2020,19.53%,-5.28%,53.26%,28.88%,25.88%,39.28%,45.76%,30.23%,116.13%,33.08%
INTC,3/28/2020,23.45%,-5.52%,60.60%,35.50%,28.55%,14.58%,50.32%,34.94%,72.88%,40.13%
INTC,12/28/2019,8.32%,-5.39%,58.78%,33.63%,34.17%,25.84%,51.37%,36.69%,12.64%,10.02%
INTC,9/28/2019,0.14%,-4.63%,58.86%,33.60%,31.21%,31.47%,49.21%,35.25%,-8.80%,3.71%
INTC,6/29/2019,-2.69%,-4.72%,59.85%,27.97%,25.32%,24.44%,44.48%,29.00%,-2.30%,2.39%
INTC,3/30/2019,-0.03%,-4.72%,56.59%,25.99%,24.74%,10.20%,45.03%,28.69%,-25.71%,-0.44%
INTC,12/29/2018,9.41%,-3.61%,60.18%,33.36%,27.84%,16.13%,44.10%,30.73%,-16.80%,-1.69%
INTC,9/29/2018,18.66%,-3.59%,64.50%,38.35%,33.39%,26.01%,49.83%,37.96%,-24.67%,-11.90%
INTC,6/30/2018,14.90%,-2.02%,61.43%,31.09%,29.51%,17.00%,42.40%,29.89%,-52.85%,-12.02%
INTC,3/31/2018,8.58%,-1.86%,60.57%,27.82%,27.72%,21.00%,45.49%,31.82%,-6.35%,11.11%
INTC,12/30/2017,4.15%,-1.86%,63.20%,31.87%,-4.03%,18.60%,51.52%,38.97%,-18.11%,6.05%
INTC,9/30/2017,2.35%,-1.15%,62.32%,31.83%,27.96%,20.34%,49.80%,37.07%,-1.49%,14.57%
INTC,7/1/2017,9.09%,-0.43%,61.61%,26.02%,19.02%,13.07%,41.81%,28.34%,46.58%,11.78%
INTC,4/1/2017,7.98%,0.12%,61.91%,24.55%,20.03%,13.15%,39.40%,26.25%,14.60%,1.51%
INTC,12/31/2016,9.79%,0.16%,61.97%,29.22%,21.75%,28.22%,41.12%,29.33%,-32.45%,11.53%
INTC,10/1/2016,9.08%,0.02%,63.27%,28.28%,21.41%,20.88%,40.42%,28.20%,-14.75%,30.34%
INTC,7/2/2016,2.56%,-0.88%,58.92%,9.74%,9.83%,11.52%,27.44%,13.27%,27.53%,116.21%
INTC,4/2/2016,7.21%,-0.79%,59.33%,18.74%,14.93%,19.77%,33.61%,18.90%,6.89%,91.71%
INTC,12/26/2015,1.31%,-1.28%,64.30%,28.83%,24.23%,20.79%,43.34%,28.95%,80.11%,66.02%
INTC,9/26/2015,-0.61%,-3.35%,62.99%,28.98%,21.49%,31.31%,45.85%,30.12%,33.66%,59.70%
INTC,6/27/2015,-4.60%,-4.18%,62.51%,21.95%,20.51%,12.68%,39.31%,22.71%,-19.88%,0.30%
INTC,3/28/2015,0.13%,-3.97%,60.48%,20.46%,15.59%,18.70%,37.13%,20.71%,-25.87%,0.19%
INTC,12/27/2014,6.41%,-3.21%,65.36%,30.25%,24.87%,24.65%,46.60%,31.83%,-30.03%,1.55%
INTC,9/27/2014,7.94%,-1.08%,64.99%,31.19%,22.79%,22.32%,46.54%,31.43%,-18.55%,-1.78%
INTC,6/28/2014,7.96%,0.33%,64.47%,27.79%,20.22%,18.98%,44.17%,28.48%,-0.22%,-1.63%
INTC,3/29/2014,1.46%,0.73%,59.64%,19.66%,15.12%,6.36%,35.76%,20.04%,11.56%,-0.17%
JPM,12/31/2022,18.08%,-0.47%,100.00%,44.94%,30.67%,293.00%,41.96%,37.13%,-23.43%,-1.17%
JPM,9/30/2022,10.35%,-1.32%,100.00%,41.38%,28.29%,-55.64%,40.62%,35.21%,-15.22%,-4.72%
JPM,6/30/2022,0.77%,-2.49%,100.00%,38.96%,26.68%,214.94%,39.72%,33.90%,-5.13%,-4.68%
JPM,3/31/2022,-4.80%,-3.18%,100.00%,37.52%,25.54%,-136.46%,37.26%,31.34%,6.11%,-9.98%
JPM,12/31/2021,-0.27%,-3.37%,100.00%,38.86%,33.93%,290.85%,48.25%,41.65%,40.41%,1.26%
JPM,9/30/2021,1.34%,-2.52%,100.00%,42.45%,37.88%,78.70%,52.56%,46.05%,55.86%,8.28%
JPM,6/30/2021,-7.85%,-1.27%,100.00%,42.04%,37.72%,44.39%,54.62%,48.05%,42.88%,-0.56%
JPM,3/31/2021,14.07%,-0.70%,100.00%,41.97%,42.93%,-135.97%,59.87%,53.46%,93.47%,9.23%
JPM,12/31/2020,2.55%,-1.98%,100.00%,45.29%,39.88%,-95.63%,57.49%,50.24%,100.13%,5.04%
JPM,9/30/2020,-0.12%,-3.88%,100.00%,42.32%,30.82%,-50.21%,46.08%,38.77%,90.00%,-5.99%
JPM,6/30/2020,15.06%,-5.48%,100.00%,48.78%,12.89%,250.70%,22.33%,15.84%,84.20%,9.12%
JPM,3/31/2020,-2.87%,-6.27%,100.00%,40.64%,8.59%,-424.55%,17.58%,9.81%,21.46%,-0.07%
JPM,12/31/2019,10.61%,-5.97%,100.00%,43.04%,28.28%,289.49%,44.03%,36.56%,-5.44%,-3.29%
JPM,9/30/2019,7.45%,-5.51%,100.00%,44.11%,29.38%,54.68%,44.64%,37.32%,-38.77%,14.87%
JPM,6/30/2019,3.58%,-5.10%,100.00%,43.45%,31.98%,-48.19%,44.97%,37.85%,-33.85%,7.44%
JPM,3/31/2019,4.36%,-4.92%,100.00%,43.70%,30.06%,-277.72%,44.11%,37.11%,-27.05%,13.30%
JPM,12/31/2018,5.75%,-4.80%,100.00%,40.17%,25.68%,7.15%,40.57%,32.54%,-35.36%,7.85%
JPM,9/30/2018,6.58%,-4.64%,100.00%,42.69%,29.16%,48.38%,44.93%,37.63%,-8.45%,0.86%
JPM,6/30/2018,7.86%,-4.57%,100.00%,42.45%,28.39%,128.58%,43.47%,36.52%,-9.79%,0.11%
JPM,3/31/2018,11.90%,-4.16%,100.00%,42.38%,29.52%,-125.81%,42.95%,36.51%,-9.90%,0.81%
JPM,12/31/2017,0.74%,-3.57%,100.00%,39.10%,15.46%,51.33%,38.58%,31.90%,10.69%,-0.11%
JPM,9/30/2017,3.67%,-3.00%,100.00%,43.04%,24.48%,-19.14%,41.70%,35.52%,9.63%,-0.53%
JPM,6/30/2017,5.54%,-2.89%,100.00%,42.61%,25.48%,15.83%,41.89%,36.05%,22.96%,2.57%
JPM,3/31/2017,7.32%,-2.87%,100.00%,38.72%,23.96%,-90.46%,37.42%,31.55%,21.67%,4.73%
JPM,12/31/2016,6.08%,-5.72%,100.00%,39.31%,25.74%,167.23%,39.74%,33.79%,8.08%,3.63%
JPM,9/30/2016,8.31%,-1.50%,100.00%,41.38%,23.56%,16.99%,40.01%,34.31%,5.07%,-1.05%
JPM,6/30/2016,2.39%,-1.00%,100.00%,44.06%,23.49%,-6.25%,41.85%,36.37%,-13.62%,-7.59%
JPM,3/31/2016,-3.44%,-0.53%,100.00%,40.46%,21.71%,-92.01%,36.12%,30.57%,-28.49%,-12.98%
JPM,12/31/2015,0.59%,2.73%,100.00%,37.68%,22.52%,70.64%,36.54%,30.98%,-29.63%,-15.41%
JPM,9/30/2015,-6.90%,-1.67%,100.00%,32.54%,27.52%,110.29%,32.68%,27.20%,-9.60%,-7.01%
JPM,6/30/2015,-3.51%,-1.81%,100.00%,39.11%,24.26%,72.64%,38.22%,33.02%,0.35%,-7.71%
JPM,3/31/2015,3.67%,-1.73%,100.00%,38.16%,22.65%,61.83%,37.16%,32.25%,32.68%,-3.91%
JPM,12/31/2014,-4.88%,-0.84%,100.00%,32.27%,19.73%,126.36%,31.85%,26.63%,43.98%,5.64%
JPM,9/30/2014,5.85%,0.58%,100.00%,35.44%,20.96%,-10.01%,35.24%,30.56%,9.34%,-1.23%
JPM,6/30/2014,-2.11%,-0.05%,100.00%,37.47%,22.56%,-17.71%,37.93%,33.00%,23.76%,-4.44%
JPM,3/31/2014,-7.59%,-0.61%,100.00%,36.95%,21.08%,63.18%,36.88%,31.67%,31.57%,-2.97%
MSFT,12/31/2022,1.97%,-1.09%,66.85%,38.67%,31.14%,9.29%,46.40%,39.49%,-20.63%,-6.12%
MSFT,9/30/2022,10.60%,-1.08%,69.17%,42.93%,35.03%,33.75%,49.60%,44.04%,-17.88%,-4.82%
MSFT,6/30/2022,12.38%,-1.02%,68.32%,39.59%,32.28%,34.24%,48.13%,40.46%,-19.62%,-9.60%
MSFT,3/31/2022,18.35%,-0.83%,68.37%,41.26%,33.89%,40.61%,49.57%,41.92%,-16.52%,-8.98%
MSFT,12/31/2021,20.09%,-0.80%,67.21%,43.01%,36.28%,16.65%,51.30%,44.54%,-5.00%,-7.73%
MSFT,9/30/2021,21.97%,-0.92%,69.89%,44.66%,45.25%,41.33%,53.57%,46.48%,-5.34%,-11.17%
MSFT,6/30/2021,21.35%,-0.94%,69.68%,41.37%,35.66%,35.23%,50.49%,43.24%,-4.54%,-4.54%
MSFT,3/31/2021,19.09%,-1.02%,68.72%,40.88%,37.06%,40.98%,49.88%,42.85%,-8.88%,-8.84%
MSFT,12/31/2020,16.72%,-0.98%,67.05%,41.55%,35.90%,19.37%,50.30%,43.89%,-1.70%,-9.61%
MSFT,9/30/2020,12.40%,-0.95%,70.39%,42.73%,37.39%,38.83%,52.10%,44.98%,0.98%,-6.37%
MSFT,6/30/2020,12.80%,-1.06%,67.56%,35.25%,29.45%,36.62%,46.31%,37.09%,2.02%,-9.40%
MSFT,3/31/2020,14.56%,-0.89%,68.66%,37.05%,30.70%,39.23%,47.33%,38.43%,4.56%,-6.59%
MSFT,12/31/2019,13.66%,-0.99%,66.51%,37.64%,31.56%,19.33%,48.62%,39.94%,5.16%,-2.63%
MSFT,9/30/2019,13.65%,-0.72%,68.52%,38.38%,32.30%,31.56%,49.29%,40.31%,0.56%,-7.00%
MSFT,6/30/2019,12.07%,-0.60%,69.12%,36.79%,39.11%,35.76%,48.01%,39.34%,0.04%,-4.21%
MSFT,3/31/2019,13.99%,-0.64%,66.73%,33.83%,28.81%,35.83%,46.07%,36.50%,-0.49%,-4.63%
MSFT,12/31/2018,12.29%,0.75%,61.74%,31.59%,25.93%,15.99%,43.28%,34.05%,-10.59%,-16.91%
MSFT,9/30/2018,18.53%,-0.42%,65.94%,34.23%,30.34%,34.57%,47.21%,37.46%,-1.87%,-10.26%
MSFT,6/30/2018,17.50%,-0.33%,67.62%,34.50%,29.49%,24.72%,46.10%,37.73%,0.59%,-10.66%
MSFT,3/31/2018,15.54%,-0.24%,65.44%,30.92%,27.68%,34.37%,44.90%,34.80%,4.96%,-1.31%
MSFT,12/31/2017,11.97%,-1.53%,61.74%,30.01%,-21.79%,18.29%,42.89%,34.12%,16.29%,11.69%
MSFT,9/30/2017,11.90%,-0.98%,66.26%,31.41%,26.80%,42.01%,45.46%,35.28%,1.12%,22.16%
MSFT,6/30/2017,-3.19%,-1.53%,66.98%,30.00%,31.51%,34.06%,42.79%,33.64%,17.43%,71.28%
MSFT,3/31/2017,13.06%,-2.15%,65.28%,28.96%,23.63%,38.62%,43.75%,33.19%,19.39%,81.08%
MSFT,12/31/2016,8.53%,-2.75%,61.66%,30.61%,24.27%,16.67%,41.47%,33.08%,19.62%,91.25%
MSFT,9/30/2016,7.60%,-2.57%,64.23%,30.62%,25.84%,42.80%,41.41%,33.13%,37.82%,93.66%
MSFT,6/30/2016,19.24%,-2.56%,69.83%,33.94%,25.95%,21.96%,43.44%,36.22%,17.32%,51.48%
MSFT,3/31/2016,-5.51%,-3.06%,62.39%,25.73%,18.29%,39.25%,34.50%,26.18%,10.60%,45.58%
MSFT,12/31/2015,-10.10%,-2.96%,58.51%,25.32%,21.09%,15.10%,32.39%,25.90%,13.73%,56.95%
MSFT,9/30/2015,-12.16%,-3.20%,64.64%,28.43%,24.05%,36.90%,35.44%,28.27%,11.39%,62.59%
MSFT,6/30/2015,-5.14%,-2.70%,66.33%,-9.26%,-14.40%,22.85%,-0.07%,-6.80%,12.62%,55.85%
MSFT,3/31/2015,6.50%,-1.55%,67.04%,30.35%,22.94%,37.78%,37.94%,30.96%,7.93%,40.52%
MSFT,12/31/2014,7.96%,-1.17%,61.71%,29.38%,22.15%,10.77%,36.01%,30.27%,7.51%,23.21%
MSFT,9/30/2014,25.21%,-0.98%,64.34%,25.19%,19.57%,30.48%,32.26%,26.11%,10.56%,48.88%
MSFT,6/30/2014,17.52%,-1.19%,67.36%,27.72%,19.72%,36.16%,36.30%,28.85%,11.28%,45.16%
MSFT,3/31/2014,-0.42%,-0.74%,70.70%,34.18%,27.74%,43.66%,41.11%,34.96%,18.72%,59.77%
MS,12/31/2022,-12.22%,-6.00%,100.00%,22.60%,16.57%,-115.82%,31.15%,21.68%,0.31%,1.25%
MS,9/30/2022,-11.98%,-6.35%,100.00%,26.36%,19.21%,-64.76%,33.00%,25.86%,0.31%,1.25%
MS,6/30/2022,-11.02%,-6.41%,100.00%,26.04%,18.21%,107.48%,31.98%,24.96%,0.31%,1.25%
MS,3/31/2022,-5.84%,-3.47%,100.00%,31.38%,23.93%,-2.79%,37.03%,30.67%,0.31%,1.25%
MS,12/31/2021,6.82%,-0.94%,100.00%,33.66%,24.73%,-2.07%,42.01%,33.49%,20.89%,4.39%
MS,9/30/2021,25.87%,15.71%,100.00%,33.20%,24.29%,10.23%,39.94%,32.92%,20.89%,4.39%
MS,6/30/2021,8.05%,18.24%,100.00%,31.43%,23.09%,27.79%,38.09%,30.93%,20.89%,4.39%
