Date,Open,High,Low,Close,Adj Close,Volume
2022-02-06,0.008316,0.008390,0.007894,0.008001,0.008001,2044558
2022-02-07,0.008002,0.008262,0.007883,0.008141,0.008141,1111277
2022-02-08,0.008141,0.008265,0.007606,0.007661,0.007661,565706
2022-02-09,0.007658,0.007683,0.007308,0.007542,0.007542,560179
2022-02-10,0.007549,0.007604,0.007223,0.007235,0.007235,441472
2022-02-11,0.007236,0.007322,0.006975,0.006979,0.006979,457449
2022-02-12,0.006989,0.007010,0.006416,0.006447,0.006447,652311
2022-02-13,0.006447,0.006494,0.006365,0.006365,0.006365,315831
2022-02-14,0.006364,0.006657,0.006135,0.006569,0.006569,430704
2022-02-15,0.006569,0.007087,0.006562,0.007010,0.007010,539714
2022-02-16,0.007013,0.007062,0.006830,0.006899,0.006899,343881
2022-02-17,0.006900,0.006960,0.006295,0.006324,0.006324,799049
2022-02-18,0.006324,0.006412,0.006191,0.006208,0.006208,728775
2022-02-19,0.006209,0.006271,0.006096,0.006110,0.006110,694364
2022-02-20,0.006110,0.006338,0.006080,0.006333,0.006333,790653
2022-02-21,0.006331,0.006530,0.006020,0.006027,0.006027,899501
2022-02-22,0.006032,0.007479,0.006004,0.006373,0.006373,1168208
2022-02-23,0.006371,0.006593,0.006353,0.006415,0.006415,544531
2022-02-24,0.006414,0.006486,0.005769,0.006014,0.006014,823516
2022-02-25,0.006014,0.006291,0.005876,0.006060,0.006060,605595
2022-02-26,0.006058,0.006254,0.006058,0.006150,0.006150,415764
2022-02-27,0.006150,0.006173,0.005916,0.005925,0.005925,502935
2022-02-28,0.005924,0.006172,0.005749,0.006170,0.006170,743371
2022-03-01,0.006170,0.006264,0.006073,0.006216,0.006216,645204
2022-03-02,0.006212,0.006212,0.005868,0.005961,0.005961,686840
2022-03-03,0.005961,0.006002,0.005789,0.005794,0.005794,729655
2022-03-04,0.005794,0.005891,0.005542,0.005553,0.005553,755762
2022-03-05,0.005554,0.005558,0.005401,0.005432,0.005432,495527
2022-03-06,0.005432,0.005461,0.005147,0.005168,0.005168,666357
2022-03-07,0.005169,0.005182,0.004831,0.004855,0.004855,577010
2022-03-08,0.004855,0.004867,0.004715,0.004767,0.004767,428799
2022-03-09,0.004766,0.005015,0.004735,0.004962,0.004962,527461
2022-03-10,0.004963,0.004966,0.004570,0.004683,0.004683,568771
2022-03-11,0.004682,0.004740,0.004023,0.004733,0.004733,1060914
2022-03-12,0.004746,0.008348,0.004736,0.005443,0.005443,25182585
2022-03-13,0.005452,0.010300,0.005256,0.008995,0.008995,30454382
2022-03-14,0.008992,0.010259,0.006364,0.006511,0.006511,17440995
2022-03-15,0.006517,0.006718,0.005570,0.005643,0.005643,4989277
2022-03-16,0.005643,0.005658,0.005078,0.005220,0.005220,2367658
2022-03-17,0.005219,0.005494,0.005052,0.005132,0.005132,1836380
2022-03-18,0.005137,0.005368,0.004987,0.005089,0.005089,1435686
2022-03-19,0.005072,0.005823,0.004986,0.005332,0.005332,2354764
2022-03-20,0.005331,0.005351,0.005034,0.005078,0.005078,758473
2022-03-21,0.005078,0.005092,0.004964,0.005051,0.005051,545250
2022-03-22,0.005049,0.005117,0.004927,0.005029,0.005029,613964
2022-03-23,0.005027,0.005039,0.004858,0.004890,0.004890,410130
2022-03-24,0.004886,0.005118,0.004820,0.005097,0.005097,979265
2022-03-25,0.005097,0.005304,0.004969,0.005001,0.005001,709556
